ip,datetime,method,url,protocol,status,size
86.1.76.62,17/May/2015:11:05:25 +0000,GET,/reset.css,HTTP/1.1,200,1015
86.1.76.62,17/May/2015:11:05:19 +0000,GET,/style2.css,HTTP/1.1,200,4877
86.1.76.62,17/May/2015:11:05:03 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
86.1.76.62,17/May/2015:11:05:28 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
86.1.76.62,17/May/2015:11:05:07 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
66.249.73.135,17/May/2015:11:05:58 +0000,GET,/blog/tags/bdb,HTTP/1.1,200,23099
107.170.41.69,17/May/2015:11:05:31 +0000,GET,/?flav=atom,HTTP/1.1,200,32352
50.16.19.13,17/May/2015:11:05:14 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
46.105.14.53,17/May/2015:11:05:02 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
208.115.111.72,17/May/2015:11:05:26 +0000,GET,/blog/rants/fedora-yum.html,HTTP/1.1,200,8328
208.115.111.72,17/May/2015:11:05:32 +0000,GET,/blog/tags/grok,HTTP/1.1,200,30346
208.115.111.72,17/May/2015:11:05:12 +0000,GET,/blog/tags/is%20it%20done%20yet,HTTP/1.1,200,10544
208.115.111.72,17/May/2015:11:05:07 +0000,GET,/blog/tags/statistics,HTTP/1.1,200,29706
50.180.79.170,17/May/2015:11:05:50 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
208.115.111.72,17/May/2015:11:05:05 +0000,GET,/blog/tags/subversion,HTTP/1.1,200,12557
208.115.111.72,17/May/2015:11:05:52 +0000,GET,/blog/web/194.html,HTTP/1.1,200,8251
208.115.111.72,17/May/2015:11:05:23 +0000,GET,/files/blogposts/20070901/?C=D;O=A,HTTP/1.1,200,980
208.115.111.72,17/May/2015:11:05:15 +0000,GET,/files/blogposts/20080109/boost_xpressive_test.cpp,HTTP/1.1,200,1533
208.115.111.72,17/May/2015:11:05:38 +0000,GET,/files/blogposts/20090520/,HTTP/1.1,200,966
208.115.111.72,17/May/2015:11:05:41 +0000,GET,/files/fastsplit/?C=M;O=D,HTTP/1.1,200,958
208.115.111.72,17/May/2015:11:05:19 +0000,GET,/files/xdotool/docs/man/?C=M;O=D,HTTP/1.1,200,959
208.115.111.72,17/May/2015:11:05:16 +0000,GET,/scripts/python/wrap/?C=N;O=D,HTTP/1.1,200,2631
208.115.111.72,17/May/2015:11:05:32 +0000,GET,/files/images/?C=S;O=D,HTTP/1.1,200,944
208.115.111.72,17/May/2015:11:05:00 +0000,GET,/files/blogposts/20080611/,HTTP/1.1,200,1175
208.115.111.72,17/May/2015:11:05:16 +0000,GET,/files/logstash/?C=D;O=D,HTTP/1.1,200,13316
208.115.111.72,17/May/2015:11:05:53 +0000,GET,/presentations/hackday06/,HTTP/1.1,200,6719
208.115.111.72,17/May/2015:11:05:29 +0000,GET,/scripts/grok-py-test/,HTTP/1.1,200,2362
208.115.111.72,17/May/2015:11:05:08 +0000,GET,/?N=A&page=21,HTTP/1.1,200,33514
208.115.111.72,17/May/2015:11:05:49 +0000,GET,/blog/geekery/oniguruma-named-capture-example.html?commentlimit=0,HTTP/1.1,200,9208
208.115.111.72,17/May/2015:11:05:01 +0000,GET,/blog/geekery/ssh-key-invalid-hack.html?commentlimit=0,HTTP/1.1,200,9335
208.115.111.72,17/May/2015:11:05:31 +0000,GET,/blog/geekery/server-side-javascript.html,HTTP/1.1,200,8587
208.115.111.72,17/May/2015:11:05:15 +0000,GET,/blog/geekery/yahoo-hackday-08.html,HTTP/1.1,200,9882
105.235.130.196,17/May/2015:11:05:01 +0000,GET,/images/googledotcom.png,HTTP/1.1,200,65748
174.37.205.76,17/May/2015:11:05:19 +0000,GET,/blog,HTTP/1.1,200,37936
54.255.13.204,17/May/2015:11:05:03 +0000,GET,/articles/ssh-security/,HTTP/1.1,200,16543
